#==============================================================================
# DATASET #0
#==============================================================================
1 3204
2 3158
3 3111
4 3093
5 3050
6 3050
7 3049
8 3044
9 3037
10 3037
11 3025
12 3017
13 3003
14 3000
15 3000
16 2998
17 2992
18 2985
19 2978
20 2974
21 2968
22 2968
23 2966
24 2965
25 2963
26 2961
27 2958
28 2957
29 2955
30 2953
31 2953
32 2952
33 2951
34 2951
35 2948
36 2946
37 2943
38 2940
39 2939
40 2939
41 2939
42 2938
43 2936
44 2936
45 2936
46 2935
47 2935
48 2932
49 2931
50 2928


